event_date,inst_date,pkg,utm_source,utm_campaign,utm_medium,utm_creative,utm_country,cv,user_id,template_id,edit_action,prev_action,tpl_action,result_action,ud_result_info,result_watermark,photo_action,eventCount
2022-10-20,2022-10-20,com.video.music.editor.maker,Unattributed,,,,ae,1.4.24,9515e6717592bb3e7af572482f372c49417a8b50,2134ec29ee42499f86586b8366dbf214,,,120,,,,,1
2022-10-20,2022-10-18,com.video.music.editor.maker,Organic,,,,ae,1.4.24,437ef2244092e9329f17b7b73e355be892c8e718,92af,,,120,,,,,1
2022-10-20,2022-10-18,com.video.music.editor.maker,TikTok,catcut_gcc_14迭代_spc_wl_1014 (1746663879686162),catcut_gcc_14迭代_spc_wl_1014 (1746663879686178),in_221014_zhangguiping_1X1_vido1.mp4_001 (1746663888092242),ae,1.4.24,c0b902dfb940ff1095c5bc084c982d42e87ad2a0,3378a055e4e748b9b42679548ba0ccb7,,,120,,,,,1
2022-10-20,2022-10-19,com.video.music.editor.maker,Organic,,,,ae,1.4.24,0e9a45755a9c916f93bb348ce6ccd7d924103f44,da82,,,120,,,,,1
2022-10-20,2022-10-11,com.video.music.editor.maker,Unattributed,,,,ae,1.4.24,972a3879a3cf7852d854c0a75b523ff6d6d4e27f,2bab,,,120,,,,,1
2022-10-20,2022-10-12,com.video.music.editor.maker,Unattributed,,,,ae,1.4.24,bfe549d74e1c807960866ce0e336b35652ef99d7,4dc9,,,120,,,,,1
2022-10-20,2022-09-24,com.video.music.editor.maker,TikTok,catcut_mid_JY_0914_jingpin_chuliang (1743936836583458),catcut_mid_JY_0914_jingpin_chuliang (1743936836371473),vido03_chenweiyu_16X9_220728.mp4 (1743936845435906),ae,1.4.24,a091d3174d0eb8918efe5326a88873972751d13f,489c0c28c18a4ed1a309e1ecdbe3b0e5,,,120,,,,,1
2022-10-20,2022-10-07,com.video.music.editor.maker,Bigo,catcut_中东_wsy_0930,catcut_中东_wsy_boy,iaoluhui_1X1_boy05.mp4,ae,1.4.24,463565de2d9937031aa2144f2b6ae19f05af7d59,0b2e,,,120,,,,,1
2022-10-20,2022-10-12,com.video.music.editor.maker,Organic,,,,ae,1.4.24,6ff76631394280a8a39b2bd567026b8335ce6133,284c240e87cf4f04b8800797a7926f76,,,120,,,,,1
2022-10-20,2022-10-05,com.video.music.editor.maker,TikTok,catcut_gcc_出量_wl_02_0921 (1744578549881857),catcut_gcc_出量_wl_02_0921 (1744578548646930),in_220831_chenweiyu_9X16_vido3--24.mp4_001 (1744578552747042),ae,1.4.24,9dabf0895230d678eacd3c77cdb9082eb4d99b5b,de28,,,120,,,,,1
2022-10-20,2022-10-11,com.video.music.editor.maker,TikTok,catcut_gcc_出量_wl_02_0922 (1744665743244305),catcut_gcc_出量_wl_02_0922 (1744665736607762),pk_210830_chinweiyu_1X1_vido16.mp4_004 (1744665748789297),ae,1.4.24,5ad60c99eb3ba9a1c63d7d7e11fc631feb6e58f2,37b6,,,120,,,,,1
2022-10-20,2022-10-20,com.video.music.editor.maker,TikTok,catcut_中东_WSY_0930 (1745363009158177),0930_catcut_中东_WSY_优秀素材 (1745363010721809),catcut_in_220920_liaoluhui_1X1_boy04.mp4_002 (1745363019792402),ae,1.4.24,99cdb169ca39db2fa8165b9c5298a657c0fc919d,b340,,,120,,,,,1
2022-10-20,2022-10-11,com.video.music.editor.maker,TikTok,catcut_AE_JY_1003_couple (1745644120189969),catcut_AE_JY_1003_couple_1t5 (1745644135555122),catcut_in_220920_liaoluhui_1X1_couple3.mp4_001 (1745644146555921),ae,1.4.24,a860e6e77e8a7b3e8091809313706af62859a462,c1a8,,,120,,,,,1
2022-10-20,2022-10-20,com.video.music.editor.maker,Unattributed,,,,ae,1.4.24,9515e6717592bb3e7af572482f372c49417a8b50,2760,,,120,,,,,1
2022-10-20,2022-10-20,com.video.music.editor.maker,TikTok,catcut_中东_WSY_0930 (1745363009158177),0930_catcut_中东_WSY_优秀素材 (1745363010721809),catcut_in_220920_liaoluhui_1X1_boy04.mp4_002 (1745363019792402),ae,1.4.24,99cdb169ca39db2fa8165b9c5298a657c0fc919d,0c952211e14a492da6781b3a3ce455dd,,,120,,,,,1
